Model,Panel,N,k_used,R2_oof,R2_ci_lo,R2_ci_hi,Cohen_f2,f2_ci_lo,f2_ci_hi,achieved_power,N_required_for_80pct
OLS,A,150,9,-0.026068254536354196,-0.1749834910861921,0.11134471032208822,0.0,0.0,0.12529572671811193,0.050004264688391364,
Ridge,A,150,9,-0.026049696385195276,-0.17495298019843564,0.11135789238917738,0.0,0.0,0.12531241929168874,0.050004264688391364,
LASSO,A,150,7,-0.06264255823646003,-0.17448457139008858,0.0319675825823825,0.0,0.0,0.033023256253815525,0.050004998811349566,
ElasticNet,A,150,7,-0.06077151192345087,-0.16982354788872786,0.03187627077904652,0.0,0.0,0.032925823236144895,0.050004998811349566,
RandomForest,A,150,9,-0.12030976869588872,-0.26509478046520335,0.003946649237226305,0.0,0.0,0.0039622869941695164,0.050004264688391364,
OLS,B,98,23,-0.019091527405050046,-0.3289666168175676,0.2771912651840631,0.0,0.0,0.3834918586791149,0.0500013998572294,
Ridge,B,98,21,-0.018495256809266225,-0.3284157121570124,0.27768028333393635,0.0,0.0,0.384428497418839,0.05000149906662832,
LASSO,B,98,6,0.08802802882396721,-0.1316356654051307,0.273902974294294,0.09652492796511139,0.0,0.3772264099664684,0.5801364433554504,148.0
ElasticNet,B,98,6,0.07033188630109688,-0.14125430159824892,0.25066210529942823,0.07565268213972075,0.0,0.334511449470456,0.46340619213453493,187.0
RandomForest,B,98,23,0.0446926168292322,-0.18612501115204907,0.24490745950891304,0.0467834935818172,0.0,0.3243409865360786,0.13989068170126395,491.0
