method,round,mean_MSE,std_MSE,fold_MSEs
plain_cnn,1,0.4119224592914644,0.2801127542354714,"[0.2948312072268612, 0.23580221621286493, 0.33309100233126815, 0.9668373456823928, 0.22905052500393525]"
plain_cnn,2,0.2403136435853801,0.0636858808867797,"[0.20904663051044767, 0.22289099108966842, 0.21919072430678554, 0.364984088026534, 0.1854557839934649]"
plain_cnn,3,0.24937043254573724,0.07642900913371643,"[0.195613926914986, 0.24715856164963906, 0.2634718910278803, 0.3826360827928544, 0.15797170034332647]"
plain_cnn,4,0.27347211289162743,0.07664209603982318,"[0.1984932183741565, 0.269833935774507, 0.30837738234120127, 0.39915779008572333, 0.1914982378825491]"
plain_cnn,5,0.28568479993239143,0.0749253285574075,"[0.20684861564698478, 0.28099477201204137, 0.33871850825197003, 0.3972493091475332, 0.20461279460342807]"
plain_cnn,6,0.30087566873294774,0.07718682819354601,"[0.21920879824545778, 0.2880769420419105, 0.37257374890767914, 0.40595028184928045, 0.2185685726204107]"
autoencoder_cnn,1,0.3128911210084161,0.17063238305113013,"[0.2568041596508458, 0.21347609121587618, 0.2922657325190822, 0.6424212906611538, 0.1594883309951222]"
autoencoder_cnn,2,0.2607658032820458,0.127316248079639,"[0.23347641950128922, 0.20149494980027755, 0.20860408327964014, 0.5096353539082661, 0.15061820992075592]"
autoencoder_cnn,3,0.24834525647780784,0.10178750675281018,"[0.23784789239393808, 0.21100699263304445, 0.1937382313456614, 0.44460100354047666, 0.15453216247591872]"
autoencoder_cnn,4,0.24489033581222458,0.09210725837947245,"[0.23614684043545267, 0.21495637639399415, 0.19635673835008838, 0.42132630026827816, 0.15566542361330946]"
