,SDY524,SDY569,SDY797,SDY1737,median,IQR,FedAvg_by_N,n_sites_selected
MIAA,0.0492155335339035,0.0,0.0,0.0,0.0,0.012303883383475874,0.02460776676695175,1
GAD65,-0.2758852695985003,-0.0,0.0,0.0,0.0,0.06897131739962507,-0.13794263479925015,1
IA2IC,-0.0990932463601839,0.0,0.1779234043474278,0.0,0.0,0.06925416267690293,0.00857502224006779,2
ICA,0.0,0.0,-0.1197957320371748,0.0,0.0,0.0299489330092937,-0.039133272465477105,1
ZNT8,0.1355042011721454,0.0,0.0,0.0,0.0,0.03387605029303635,0.0677521005860727,1
8-12,-0.2572284195844475,-0.6874588768851991,0.0,0.0,-0.12861420979222374,0.3647860339096354,-0.17444480158457035,2
13-17,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
>18,0.0311912341800714,0.0,0.0,0.0,0.0,0.00779780854501785,0.0155956170900357,1
Sex,0.133319349078939,-0.0,0.1410198045791777,0.0,0.0666596745394695,0.13524446295399867,0.11272614403533422,2
